Project name,Project Ticker,since,Max. Supply,Type of Funding,Consensus Type,Algorithm,Base Code,Mineable,Difficulty Adjustment,Block Size (MD),block time,Transactions Per second,MasterNodes,Privacy By default,optional privacy,Privacy Type/Features,other features,Community size,developers count,Team Members total,official website,repository,oficial paper,offers exclusive mobile wallet?,open source mobile wallets,open source wallet ios,open source wallet Android,notes
Anoncoin,ANC,,,,,,,,,,,,,,,,,,,,https://anoncoin.net/,https://github.com/Anoncoin/anoncoin,https://github.com/Anoncoin/anoncoin,no,,,,tor no private
Signatum,SIGT,,,,,,,,,,,,,,,,,,,,https://signatum.io/,offline,https://signatum.io/signatum_whitepaper.pdf,offline,,,,
Dreamcoin,DRM,,,,,,,,,,,,,,,,,,,,http://dreamcoin.fi/,https://github.com/tsosunov/Dreamcoin,http://dreamcoin.fi/whitepaperb.pdf,no,,,,
MoX,MOX,,,,,,,,,,,,,,,,,,,,offline,offline,offline,offline,,,,
Quantis Network,QUAN,,,,,,,,,,,,,,,,,,,,https://quantisnetwork.org/,https://github.com/QuantisNetwork,https://quantisnetwork.org/wp-content/uploads/2019/01/Quantis-WP.pdf,no,,,,
AceD,ACED,,,,,,,,,,,,,,,,,,,,https://www.acedcoin.com/#wallets,no,no,no,,,,
X12 Coin,X12,,,,,,,,,,,,,,,,,,,,http://x12coin.com/,https://github.com/x12project/x12-core,http://x12coin.com/X12-Coin-Whitepaper.pdf,offline,,,,offline
Ycash,YEC,,,,,,zcash,,,,,,,,,,,,,,https://www.ycash.xyz/,https://github.com/YcashFoundation/ycash/,,no,,,,
Blur,BLUR,,,,,,,,,,,,,,,,,,,,https://blur.cash/,https://github.com/blur-network/blur,,no,,,,
Wownero,WOW,,,,,,,,,,,,,,,,,,,,https://wownero.org/,https://github.com/wownero/wownero,,no,,,,
Keep Network,KEEP,,,,,,,,,,,,,,,,,,,,https://keep.network/,https://github.com/keep-network,https://keep.network/,no,,,,
Morelo,MRL,,,,,,arqma,,,,,,,,,,,,,,https://github.com/morelo-network/morelo,https://github.com/morelo-network/morelo,http://morelo.is-great.net/MRL-Whitepaper.pdf?i=1,no,,,,
Buxcoin,BUX,,,,,,,,,,,,,,,,,,,,https://www.buxcoins.com/,https://github.com/NewBux/Buxcoin,https://buxcoins.com/white-paper.php,android only,no,,,
Bitgrin,XBG,,,,,,,,,,,,,,,,,,,,https://bitgrin.dev/,https://github.com/bitgrin/bitgrin,https://download.wpsoftware.net/bitcoin/wizardry/mimblewimble.pdf,no,,,,
DMme,DMME,,,,,,,,,,,,,,,,,,,,https://dmme.app/,,,android only,no,,,chat app
PEPS Coin,PEPS,,,,,,,,,,,,,,,,,,,,http://peps.today/,https://github.com/PEPS-Project/peps,,no,,,,
0Cash,ZCH,,,,,,bitcoinz,,,,,,,,,,,,,,https://0cash.org/,https://github.com/0cash/0cash,https://0cash.org/whitepaper.pdf,no,,,,
